"CLIENTNUM";"Attrition_Flag";"Customer_Age";"Gender";"Dependent_count";"Education_Level";"Marital_Status";"Income_Category";"Card_Category";"Months_on_book";"Total_Relationship_Count";"Months_Inactive_12_mon";"Contacts_Count_12_mon";"Credit_Limit";"Total_Revolving_Bal";"Trans_Amt_Oct12";"Trans_Amt_Nov12";"Trans_Amt_Dec12";"Trans_Amt_Jan13";"Trans_Amt_Feb13";"Trans_Amt_Mar13";"Trans_Count_Oct12";"Trans_Count_Nov12";"Trans_Count_Dec12";"Trans_Count_Jan13";"Trans_Count_Feb13";"Trans_Count_Mar13"
768805383;0;45;"M";3;"High School";"Married";"$60K - $80K";"Blue";39;5;1;3;12691;777;0;237;253;196;196;262;0;7;9;12;7;7
818770008;0;49;"F";5;"Graduate";"Single";"Less than $40K";"Blue";44;6;1;2;;864;0;266;242;323;222;238;0;1;6;11;7;8
713982108;0;51;"M";3;"Graduate";"Married";"$80K - $120K";"Blue";36;4;1;0;;0;0;195;330;967;213;182;0;1;5;5;4;5
769911858;0;40;"F";4;"High School";"Unknown";"Less than $40K";"Blue";34;3;4;1;3313;2661;0;321;166;184;285;215;0;4;2;5;2;7
709106358;0;;"M";3;"Uneducated";"Married";"$60K - $80K";"Blue";21;5;1;0;4716;0;0;108;149;192;88;279;0;1;7;9;5;6
713061558;0;44;"M";2;"Graduate";"Married";"$40K - $60K";"Blue";36;3;1;2;4010;1247;0;179;279;480;55;95;0;1;12;8;1;2
810347208;0;51;"M";4;"Unknown";"Married";"$120K +";"Gold";46;6;1;3;30728.35;2264;0;258;189;453;228;202;0;8;10;8;2;3
818906208;0;32;"M";0;"High School";"Unknown";"$60K - $80K";"Silver";27;2;2;2;29081;1396;13;137;330;531;329;198;0;4;17;10;2;3
710930508;0;;"M";3;"Uneducated";"Single";"$60K - $80K";"Blue";36;5;2;0;22352;2708;21;223;66;599;195;246;0;9;2;9;2;2
719661558;0;48;"M";2;"Graduate";"Single";"$80K - $120K";"Blue";36;6;3;3;11656;1677;23;208;340;489;212;169;0;7;10;7;4;4
708790833;0;42;"M";5;"Uneducated";"Unknown";"$120K +";"Blue";31;5;3;2;6748;1467;28;233;395;157;185;203;0;8;17;7;5;5
710821833;0;65;"M";1;"Unknown";"Married";"$40K - $60K";"Blue";54;6;2;3;9095;1587;27;329;184;291;224;259;0;2;9;8;2;5
